  County , ORGANIZATION NAME , Address , City ,State, Zip , DISCIPLINE ,Budget Category,   ANNUAL AUDIENCE SERVED ,Regional Arts Council
Winona,Minnesota Conservatory for the Arts,1164 W. 10th Street,Winona,MN,55987-2421,Performing Arts,$250K-$1M,"4,600",RAC 11
Winona,Minnesota Marine Art Museum,800 Riverview Drive,Winona,MN,55987-2272,Visual Arts & Architecture,$1M-$5M,"26,312",RAC 10
Winona,Polish Cultural Institute,102 Liberty Street,Winona,MN,55987,History,$25K-$100K,,RAC 10
Winona,River Arts Alliance,625 Walnut St,Winona,MN,55987,Arts Multipurpose,Under $25K,"18,000",RAC 10
Winona,Saint Charles Youth Theatre,1136 Richland Ave,St Charles,MN,55972,Performing Arts,Under $25K,480,RAC 10
Winona,"Saint Mary's University of Minnesota, Page Theatre","700 Terrace Heights, #67",Winona,MN,55987-1321,Arts Multipurpose,$250K-$1M,"21,629",RAC 10
Winona,Theatre du Mississippi,PO Box 184,Winona,MN,55987,Performing Arts,$25K-$100K,"4,500",RAC 10
Winona,Winona Arts Center,228 5th St E,Winona,MN,55987,Visual Arts & Architecture,Under $25K,220,RAC 10
winona,Winona County Historical Society,160 johnson st,Winona,MN,55987,History,$250K-$1M,"25,000",RAC 10
Winona,Winona State University College of Education,175 Mark St W PO Box 5838,Winona,MN,55987,Other,Under $25K,"1,100",RAC 10
Winona,Winona State University/History Project,"PO Box 5838, PAC 146",Winona,MN,55987,History,Under $25K,,RAC 10
Winona,Winona Symphony Orchestra Association,PO Box 1197,Winona,MN,55987,Performing Arts,Under $25K,480,RAC 10
Winona,Winona-Dakota Unity Alliance,860 Parks Ave PO Box 393,Winona,MN,55987,Performing Arts,$25K-$100K,"2,650",RAC 10
Winona County,"Home and Community Options, Inc.",,Winona,MN,,Other,Under $25K,"2,450",RAC 10
Winona County,Project FINE,,Winona,MN,,Humanities,$25K-$100K,300,RAC 10
Winona County,SEED Performance Art,,Winona,MN,,Arts Multipurpose,Under $25K,240,RAC 10
Winona County,Winona Area Barbershoppers,,Winona,MN,,Performing Arts,Under $25K,"37,500",RAC 10
Winona County,Winona Brass Band,,Winona,MN,,Performing Arts,Under $25K,450,RAC 10
Wright,Buffalo Art Guild,110 12th St S,Buffalo,MN,55313-1271,Arts Multipurpose,Under $25K,837,RAC 07W
Wright,Buffalo Community Orchestra,P.O. Box 707,Buffalo,MN,55313-0707,Performing Arts,$25K-$100K,"1,525",RAC 07W
Wright,Buffalo Community Theater,P. O. Box 23,Buffalo,MN,55313-0023,Performing Arts,$25K-$100K,"3,126",RAC 07W
Wright,Buffalo Rotary Foundation,PO Box 501,Buffalo,MN,55313,Performing Arts,$25K-$100K,"3,500",RAC 07W
Wright,Buffalo-Hanover-Montrose Early Childhood Family Ed.,301 2nd Ave NE,Buffalo,MN,55313,Other,Under $25K,173,RAC 07W
Wright,City of Howard Lake/History Project,"625 Eighth Avenue, Box 736",Howard Lake,MN,55349,History,Under $25K,,RAC 07W
Wright,Cokato Historical Society,"PO Box 686, 175 Fourth Street W",Cokato,MN,55321,History,$25K-$100K,,RAC 07W
Wright,Dassel-Cokato Community Education,4852 Reardon Ave SW Ste 1400,Cokato,MN,55321,Other,$25K-$100K,"2,500",RAC 07W
Wright,Delano Arts Council,140 Elm Ave,Delano,MN,55328,Arts Multipurpose,Under $25K,"1,050",RAC 07W
Wright,Howard Lake-Waverly-Winsted Community Education,801 8th Ave PO Box 708,Howard Lake,MN,55349,Arts Multipurpose,Under $25K,"1,130",RAC 07W
Wright,Lake Sylvia Flute Institute,401 Douglas Dr,Buffalo,MN,55313,Performing Arts,Under $25K,310,RAC 07W
Wright,Monticello Strings,PO Box 428,Monticello,MN,55362-0428,Performing Arts,Under $25K,550,RAC 07W
Wright,SOAR Regional Arts,PO Box 372,Saint Michael,MN,55376-0372,Performing Arts,$25K-$100K,"2,310",RAC 07W
Wright,Wright County Historical Society,2001 Highway 25 N,Buffalo,MN,55313,History,Under $25K,,RAC 07W
Wright,wRight Ringers Community Handbell Ensemble,1812 Hwy 25 S,Buffalo,MN,55313,Performing Arts,Under $25K,950,RAC 07W
Yellow Medicine,Andrew J. Volstead House Museum,163  9th Avenue,Granite Falls,MN,56241,History,Under $25K,350,RAC 068
Yellow Medicine,City of Granite Falls/History Project,641 Prentice Street,Granite Falls,MN,56241,History,$100K-$250-K,,RAC 068
Yellow Medicine,Granite Area Arts Council,"807 Prentice Street, PO Box 111",Granite Falls,MN,56241-1520,Arts Multipurpose,$25K-$100K,"4,138",RAC 068
Yellow Medicine,Granite Falls Area Community Theater,PO Box 130,Granite Falls,MN,56241,Performing Arts,Under $25K,600,RAC 068
Yellow Medicine,Granite Falls Riverfront Revitalization,702 Prentice St,Granite Falls,MN,56241,Other,Under $25K,200,RAC 068
Yellow Medicine,Yellow Medicine County Historical Society ,Hwy 23 & 67,Granite Falls,MN,56241,History,$25K-$100K,600,RAC 068
Sibley,Arlington Chamber of Commerce,,Arlington,MN,,Other,Under $25K,"1,510",RAC 068
Anoka,Artists del Norte,6666 East River Road,Fridley,MN,55432,Visual Arts & Architecture,Under $25K,500,RAC 11
Rice,ArtOrg,,Northfield,MN,,Arts Multipurpose,$100K-$250-K,"3,825",RAC 10
Mower,Austin Public Television (KSMQ),2000 Eighth Ave,Austin,MN,55912,Media & Communications,$1M-$5M,150,RAC 10
Hennepin,Ballet Folklorico Mexico Azteca,7610 16th Ave S,Richfield,MN,55423,Performing Arts,Under $25K,300,RAC 11
Freeborn,"Big Island Rendevous and Festival, Inc.",,Albert Lea,MN,,Arts Multipurpose,$25K-$100K,,RAC 10
Hennepin,Bloomington Fine Arts Council,Center for the Arts.1800 W. Old Shakopee Rd,Bloomington,MN,55431,Arts Multipurpose,Under $25K,"15,000",RAC 11
Hennepin,Blue Water Theatre Company,PO Box 662,Wayzata,MN,55391,Performing Arts,$100K-$250-K,"2,675",RAC 11
Dakota ,Carpenter St. Croix Valley Nature Center/T and E Carpenter Foundation,,Hastings,MN,,Other,$250K-$1M,,RAC 10
Anoka,City of Lakes Chorus, 11854 Grouse St NW,Coon Rapids,MN,55448,Performing Arts,Under $25K,600,RAC 11
Kanabec,City of Mora- Arts Programs,,Mora,MN,,Other,Under $25K,"1,200",RAC 07E
Hennepin,"Come Square Dance, Inc.",P.O. Box 317,Mound,MN,55364,Performing Arts,Under $25K,100,RAC 11
Meeker,Dassel-Cokato Community Theater,,Dassel,MN,,Performing Arts,Under $25K,300,RAC 07W
Fillmore,Eagle Bluff Environmental Learning Center,,Lanesboro,MN,,Other,$1M-$5M,,RAC 10
Polk,East Grand Forks Campbell Library,,East Grand Forks,MN,,Other,Under $25K,"5,225",RAC 01
Saint Louis,East Range Choral Society,,Virginia,MN,,Performing Arts,Under $25K,490,RAC 03
Hennepin,Eden Prairie Arts Center,,Eden Praire,MN,,Visual Arts & Architecture,$100K-$250-K,,RAC 11
Hennepin,Edina Chorale,P.O. Box 24402,Edina,MN,55424-0402,Performing Arts,$25K-$100K,"1,800",RAC 11
Crow Wing,Farm on St. Mathias/Celtic Festival,,Brainerd,MN,,Other,Under $25K,375,RAC 05
Washington,Gammelgarden Museum,,Scandia,MN,,History,$25K-$100K,,RAC 11
Hennepin,Grand Symphonic Winds,,Minneapolis,MN,,Performing Arts,$25K-$100K,351,RAC 11
Stearns,Great River Regional Library Arts Programming,,Saint Cloud,MN,,Other,Under $25K,0,RAC 07W
Wadena,Greater Wadena Arts League,,Wadena,MN,,Visual Arts & Architecture,Under $25K,250,RAC 05
Chisago,Hazelfest at Hazelden,,Chisago,MN,,Performing Arts,$25K-$100K,"2,500",RAC 07E
Ramsey,Ice Orchestra ,907 Smith Avenue South,West St Paul,MN,55118,Performing Arts,$25K-$100K,100,RAC 11
Ramsey,Irondale Band Boosters,PO Box 120283,New Brighton,MN,55112,Performing Arts,$250K-$1M,"3,000",RAC 11
Carver,ISD 108 Community Education,318 Hwy 212,Norwood Young America,MN,55368,Performing Arts,Under $25K,"2,500",RAC 11
Carver,ISD 110 Community Education,516 Industrial Blvd,Waconia,MN,55387,Performing Arts,Under $25K,500,RAC 11
Saint Louis,KBFT Bois Forte Tribal Community Radio,,Nett Lake,MN,,Media & Communications,$100K-$250-K,400,RAC 03
Becker,KKWE White Earth Land Recovery Project,,Callaway,MN,,Media & Communications,$100K-$250-K,440,RAC 04
Blue Earth,KMSU-FM/KMSK-FM MN State University Mankato,,Mankato,MN,,Media & Communications,$100K-$250-K,"13,900",RAC 09
Cass,KOJB FM Leech Lake Band of Ojibwe,,Cass Lake,MN,,Media & Communications,$100K-$250-K,,RAC 02
Winona,KQAL-FM Winona State University,,Winona,MN,,Media & Communications,$100K-$250-K,"2,800",RAC 10
Pennington,KSRQ-FM Northland Community & Tech College,,Thief River Falls,MN,,Media & Communications,$100K-$250-K,"2,500",RAC 01
Stevens,KUMM-FM University of MN Morris,,Morris,MN,,Media & Communications,$100K-$250-K,,RAC 04
Stearns,KVSC-FM St Cloud State University,,Saint Cloud,MN,,Media & Communications,$100K-$250-K,950,RAC 07W
Roseau,LifeCare Medical Center,,Roseau,MN,,Other,Under $25K,"3,230",RAC 01
Morrison,Little Falls Arts & Crafts Fair,,Little Falls,MN,,Arts Multipurpose,$25K-$100K,,RAC 05
Ramsey,Luverne Seifert and Darcey Engen,2613 30th Ave. N.E.,Saint Anthony,MN,55418-2348,Performing Arts,$25K-$100K,375,RAC 11
Roseau,Malung Community Center,,Roseau,MN,,Other,Under $25K,300,RAC 01
Dakota ,Minnesota Zoo,13000 Zoo Blvd,Apple Valley,MN,55124,Other,Over 10M,"1,293,000",RAC 11
Kanabec,Mora Vasaloppet,,Mora,MN,,Performing Arts,$100K-$250-K,,RAC 07E
Brown,New Ulm Oktoberfest Arts Activities,,New Ulm,MN,,Performing Arts,$25K-$100K,"1,006",RAC 09
Carver,Nordic Music Festival,"c/o Carolyn Spargo, 3225 Mcknight Rd",Chaska,MN,55318,Performing Arts,Under $25K,700,RAC 11
Pine County,Northwest Company Fur Post,,Pine City,MN,,History,$250K-$1M,"14,000",RAC 07E
Mille Lacs,Onamia Public Schools Arts Project,,Onamia,MN,,Other,Under $25K,230,RAC 07E
Swift,Pioneer Public Television KWCM,120 West Schlieman Ave,Appleton,MN,56208,Media & Communications,$1M-$5M,"1,600",RAC 09
Clay,Prairie Public Broadcasting,,Moorhead,MN,,Media & Communications,$250K-$1M,"2,541",RAC 04
Polk,River Walk Artists,,East Grand Forks,MN,,Visual Arts & Architecture,Under $25K,"15,000",RAC 01
Dakota ,Rosemount's Front Porch Players,P. O. Box 409,Rosemount,MN,55068,Performing Arts,Under $25K,413,RAC 11
Ramsey,Roseville Parks and Recreation,2660 Civic Center Dr,Roseville,MN,55113,Arts Multipurpose,$25K-$100K,"3,500",RAC 11
Hennepin,Silverwood Park-Three Rivers Park District,2500 County Road E W,St Anthony,MN,55421,Arts Multipurpose,$100K-$250-K,"300,000",RAC 11
Washington,The St. Croix Valley Symphony Orchestra,"3975 Paradox End Ave S, 8581 Hamlet Ave S ",Cottage Grove,MN,55016,Performing Arts,Under $25K,575,RAC 11
Pennington,Thief River Falls Chamber of Commerce,,Thief River Falls,MN,,Other,Under $25K,"3,500",RAC 01
