NAME,areaname,periodyear,stfips,areatype,area,empYear,avg_estabYear,totwageYear,avgwkwageYear,Tot_pop,pop_16u,lab_force,armed_for,civilian,emplyd,unemplyd,not_labor,ce_jobs,Med_earn,avg_earn,lq,ce_per_w,ce_per_c,ad,pub,agent,arch,land,direct,curator,lib,art,craft,fine_art,multimed,comm_des,fash_des,flor_des,graph_des,int_des,merch,set_des,actor,producer,dancer,chore,music_dir,singer,radio_tv,pub_rel,editor,tech_writ,author,media_other,audio_tech,broad_tech,sound_eng,photo,camera,film,med_equip,makeup,mus_repair
Red Lake,Red Lake County                 ,2014,27,4,125,1029,128,32128120,599,4071,3171,2204,0,2204,2094,110,967,14,18.38,19.00,0.33,6.5,3.3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Redwood,Redwood County                  ,2014,27,4,127,6413,543,208730911,625,15834,12409,8034,4,8030,7627,403,4375,154,17.01,17.79,0.66,20.2,9.7,1,1,1,1,0,13,1,8,3,3,5,2,5,0,7,17,3,3,0,2,1,1,0,8,14,7,5,3,2,8,1,1,0,0,21,0,1,0,0,3
Renville,Renville County                 ,2014,27,4,129,5747,576,215553229,720,15326,12303,8035,1,8034,7550,484,4268,113,17.38,18.10,0.44,14.9,7.4,0,1,1,1,0,11,0,5,2,3,5,2,2,0,6,7,1,2,0,2,1,1,0,7,14,1,4,4,2,9,0,1,0,0,14,0,0,0,0,1
Rice,Rice County                     ,2014,27,4,131,23313,1482,947745491,781,64829,51740,35632,9,35623,33390,2233,16108,787,18.58,19.54,0.91,23.6,12.1,4,9,6,10,3,27,3,21,16,20,38,15,7,3,11,49,14,12,2,13,8,4,3,28,84,47,26,35,5,88,12,25,5,3,118,2,3,4,1,4
Rock,Rock County                     ,2014,27,4,133,3488,300,120436695,664,9587,7476,4907,9,4898,4703,195,2569,85,16.55,17.22,0.54,18.0,8.9,0,1,1,2,0,7,0,3,2,2,4,1,1,0,4,5,1,1,0,1,1,1,0,4,10,2,3,5,1,7,0,1,0,0,10,0,0,0,0,1
Roseau,Roseau County                   ,2014,27,4,135,8911,440,397014213,856,15545,12220,8626,2,8624,8329,295,3594,185,17.38,17.82,0.49,22.2,11.9,1,1,2,4,1,5,0,3,4,4,9,3,5,0,4,14,3,2,0,3,2,1,0,6,18,3,5,9,5,15,1,1,1,0,45,1,1,0,0,2
St Louis,Saint Louis County              ,2014,27,4,137,96349,5245,4030859786,804,200563,166296,103194,204,102990,94870,8120,63102,2732,17.48,18.34,0.95,28.8,13.6,24,28,21,85,9,94,17,61,60,72,128,60,48,10,64,168,53,63,8,64,73,18,12,88,300,82,92,93,23,243,47,59,47,10,342,16,12,17,3,17
Scott,Scott County                    ,2014,27,4,139,43324,2978,1950509762,866,135129,99801,77066,46,77020,72883,4137,22735,1625,20.33,21.23,0.98,22.3,12.0,13,20,14,36,20,40,1,60,37,34,66,32,21,10,15,195,50,36,11,27,22,24,4,38,144,8,61,52,19,131,23,18,3,6,303,8,9,4,2,11
Sherburne,Sherburne County                ,2014,27,4,141,25845,1859,1024234872,761,89770,67220,49583,0,49583,46526,3057,17637,835,18.42,19.29,0.79,17.9,9.3,6,9,7,17,10,32,1,24,20,21,39,18,13,4,18,73,32,29,4,13,9,8,2,25,88,5,27,26,8,74,8,7,2,2,137,3,4,1,1,7
Sibley,Sibley County                   ,2014,27,4,143,4032,380,145494413,693,15096,11750,8325,0,8325,7795,530,3425,109,17.45,18.17,0.54,14.0,7.3,1,1,1,1,0,12,0,3,3,3,5,3,1,0,3,9,3,2,0,1,1,1,0,6,12,0,4,6,1,10,0,1,0,0,14,0,0,0,0,1
Stearns,Stearns County                  ,2014,27,4,145,82976,4234,3410779210,790,151728,120610,87205,52,87153,81665,5488,33405,1862,18.35,19.43,0.71,22.8,12.3,12,35,11,26,5,72,2,45,35,33,63,34,29,5,41,179,50,88,8,66,31,9,5,54,153,58,112,56,20,131,44,36,12,7,246,7,7,16,2,17
Steele,Steele County                   ,2014,27,4,147,21530,928,845899403,756,36472,28200,19689,23,19666,18382,1284,8511,430,18.05,19.07,0.57,23.4,11.8,2,4,3,5,2,19,1,9,8,11,20,8,14,1,13,57,9,7,1,7,3,2,0,14,43,20,14,15,5,41,2,4,2,1,57,1,1,1,0,4
Stevens,Stevens County                  ,2014,27,4,149,5341,353,219843068,790,9748,7929,5379,0,5379,5145,234,2550,112,16.41,17.04,0.57,21.8,11.5,1,1,1,1,0,7,0,4,2,2,4,2,1,0,8,9,2,2,0,2,1,0,0,5,12,4,4,5,2,8,2,2,1,0,14,0,0,1,0,1
Swift,Swift County                    ,2014,27,4,151,3499,329,123506709,678,9602,7823,5193,0,5193,4975,218,2630,78,15.96,16.61,0.59,15.6,8.1,1,1,1,0,0,6,0,3,1,2,3,1,1,0,2,4,1,1,0,1,1,1,0,5,9,3,3,3,2,6,1,1,1,0,11,1,0,0,0,1
Todd,Todd County                     ,2014,27,4,153,6001,556,200312635,642,24588,19350,12085,4,12081,11320,761,7265,178,17.08,17.58,0.52,15.8,7.3,0,1,1,2,1,12,0,5,4,4,8,3,2,1,5,19,3,2,0,2,2,1,0,10,21,2,3,11,1,14,1,1,1,0,30,1,1,0,0,1
Traverse,Traverse County                 ,2014,27,4,155,1055,142,34482225,628,3455,2844,1707,0,1707,1661,46,1137,37,17.21,17.67,0.61,22.1,10.6,0,0,0,0,0,2,0,1,1,1,2,1,0,0,3,2,1,0,0,1,0,0,0,1,5,0,1,3,0,4,0,0,0,0,7,0,0,0,0,0
Wabasha,Wabasha County                  ,2014,27,4,157,6918,602,234270233,651,21485,17177,11822,2,11820,11237,583,5355,180,19.73,20.32,0.62,16.1,8.4,1,3,1,2,0,9,0,10,3,4,8,3,3,0,3,11,3,3,1,8,2,1,0,6,18,1,8,8,2,14,2,1,0,0,33,1,1,0,0,3
